"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000137936",426.492099387049,-0.295345618785811,0.486358168043734,-0.607259501724361,0.543678710050969,0.999955093218881
"ENSG00000235308",5.24058819425128,-0.109416594349973,2.09287047796218,-0.052280633465914,0.958305084466208,0.999955093218881
"ENSG00000117519",3.00651548626931,0.0068689358519088,1.11674471273356,0.00615085594190554,0.995092357953411,0.999955093218881
"ENSG00000134215",1382.7534811429,0.0691925362591994,0.995085817174195,0.0695342402283349,0.944564378838911,0.999955093218881
"ENSG00000228502",64.7491330273949,0.0641144772054316,0.411916533609573,0.15564919583005,0.876309544812205,0.999955093218881
"ENSG00000188641",2280.08727001367,0.319164111302407,0.389562830194996,0.819287895466437,0.412622177049317,0.999955093218881
"ENSG00000171492",1921.12533806983,-0.200123859808844,0.571205277354506,-0.35035366048385,0.726073298715027,0.999955093218881
"ENSG00000170989",117.944349281023,-1.08726389961524,1.05866207094017,-1.02701695797005,0.304412479013545,0.999955093218881
"ENSG00000116299",2.46444400124243,0.37194921802399,1.93344334676647,0.192376579663452,0.847447236477943,0.999955093218881
"ENSG00000260464",17.2568185665593,0.270721873833998,1.24949489195886,0.216665050474581,0.828469386680107,0.999955093218881
"ENSG00000273204",3.67390221800986,-0.681015504843852,1.61427822535142,-0.421869968973657,0.673119931064434,0.999955093218881
"ENSG00000079739",40.0905503159212,-0.466605050827931,0.857757828879878,-0.543982269957545,0.586453673702151,0.999955093218881
"ENSG00000162377",171.153587323151,-0.136134476188936,0.540433104867554,-0.251898847355584,0.801119250543674,0.999955093218881
"ENSG00000232542",7.39245538551716,0.756992665440351,1.06682324731838,0.709576462027021,0.477966820275345,0.999955093218881
"ENSG00000116774",9.47155333066402,0.377298170372111,0.932048153508158,0.404805448036123,0.685620523844766,0.999955093218881
"ENSG00000023909",1999.20215338854,-0.661606520349202,0.661610205988445,-0.999994429289013,0.31731320376837,0.999955093218881
"ENSG00000069702",11.7789979444658,0.389252115643497,1.55027977699353,0.251085076010201,0.801748334008376,0.999955093218881
"ENSG00000230489",17.0828373188291,-0.444019714977427,1.16997705684893,-0.379511471937144,0.704308086970936,0.999955093218881
"ENSG00000198198",1550.31771312812,0.236123237292975,0.336737850568127,0.70120788885063,0.483173287354192,0.999955093218881
"ENSG00000116793",449.606465160593,0.205347465358579,0.615661690641049,0.333539455970964,0.738727111256497,0.999955093218881
"ENSG00000183298",14.1692694263596,-0.756715497712746,0.563623015424657,-1.34259154967723,0.179404268108509,0.999955093218881
"ENSG00000234332",5.82584846404996,-0.713887580511959,0.88472159905816,-0.806906467833425,0.419720372200648,0.999955093218881
"ENSG00000117525",55296.8372462989,-0.670352021482809,1.73397953349751,-0.386597424325235,0.699054265062181,0.999955093218881
"ENSG00000224238",2.92695856117392,-0.986393355442421,2.05276443978348,-0.480519506440038,0.630858036226548,0.999955093218881
"ENSG00000203914",1.89332898346209,0.389246346286876,1.36645533829805,0.284858447530156,0.775752591658,0.999955093218881
"ENSG00000270457",2.41618047480298,-0.201910797431127,1.55500914182301,-0.129845408622111,0.896688736109965,0.999955093218881
"ENSG00000228057",29.3047082087464,1.30448123579079,0.479550404125758,2.72021715458444,0.00652390576508649,0.999955093218881
"ENSG00000122481",35.0299259857097,0.383933769058107,0.838277648008455,0.458003109077572,0.64695020758432,0.999955093218881
"ENSG00000198162",1552.85364711486,0.135428180498718,0.423982611370926,0.319419185755797,0.74940866410481,0.999955093218881
